0 0 0
1 1 0
2 1.41633 0.00668063
3 1.73937 0.0104453
4 2.01172 0.0133866
5 2.25286 0.0163688
6 2.45906 0.0195906
7 2.64394 0.0215032
8 2.83048 0.0225963
9 3.00073 0.0266287
10 3.16907 0.0286948
11 3.32452 0.0350691
12 3.47661 0.0390624
13 3.61796 0.0430252
14 3.75617 0.0462255
15 3.88688 0.0507785
16 4.01988 0.0510459
17 4.15177 0.0528917
18 4.27507 0.0538319
19 4.39217 0.0572818
20 4.50284 0.0598715
21 4.61151 0.0642026
22 4.71058 0.0602477
23 4.80853 0.0607392
24 4.91967 0.0629829
25 5.01236 0.0647076
26 5.11687 0.0634709
27 5.20369 0.0641572
28 5.30311 0.061999
29 5.39329 0.0621229
30 5.49107 0.0588992
31 5.58158 0.0615121
32 5.66274 0.0644944
33 5.75606 0.0698502
34 5.84404 0.0720831
35 5.92714 0.0726201
36 6.01388 0.0719653
37 6.09385 0.0753026
38 6.17872 0.0775139
39 6.26404 0.0782896
40 6.34516 0.0832372
41 6.42758 0.0817749
42 6.50195 0.0802984
43 6.57369 0.0836804
44 6.65112 0.0858906
45 6.72692 0.0873842
46 6.80425 0.0864092
47 6.87225 0.0861395
48 6.94642 0.0867003
49 7.02228 0.0904449
50 7.09216 0.0896798
51 7.15804 0.0860398
52 7.22837 0.0885012
53 7.29503 0.0884164
54 7.36868 0.0883322
55 7.42628 0.0857008
56 7.49232 0.0895808
57 7.56353 0.0948661
58 7.62881 0.0958045
59 7.69897 0.0974214
60 7.75932 0.0986987
61 7.82702 0.0993706
62 7.88585 0.0995891
63 7.94646 0.101807
64 8.00474 0.107066
65 8.06556 0.112466
66 8.13655 0.114344
67 8.20011 0.116507
68 8.26767 0.118052
69 8.32999 0.119943
70 8.38725 0.122643
71 8.44747 0.121962
72 8.50375 0.120397
73 8.56238 0.125264
74 8.63221 0.130326
75 8.68617 0.134867
76 8.75201 0.139437
77 8.80665 0.138202
78 8.8596 0.136103
79 8.91428 0.136843
80 8.97396 0.140574
81 9.0279 0.143328
82 9.09238 0.146022
83 9.15573 0.149895
84 9.21085 0.152154
85 9.25838 0.152333
86 9.30894 0.151469
87 9.37056 0.149891
88 9.42089 0.150259
89 9.47765 0.146852
90 9.53057 0.146737
91 9.58172 0.14754
92 9.62927 0.148376
93 9.68113 0.148042
94 9.72754 0.148778
95 9.77839 0.150602
96 9.8217 0.146186
97 9.87264 0.150118
98 9.92183 0.152503
99 9.97305 0.151738
100 10.013 0.153919
